"","location","country","continent"
"1","Afghanistan","Afghanistan","Asia"
"2","Alabama, United States","United States","Americas"
"3","Alaska, United States","United States","Americas"
"4","Albania","Albania","Europe"
"5","Alberta, Canada","Canada","Americas"
"6","Argentina","Argentina","Americas"
"7","Arizona, United States","United States","Americas"
"8","Arkansas, United States","United States","Americas"
"9","Armenia","Armenia","Asia"
"10","Australia","Australia","Oceania"
"11","Austria","Austria","Europe"
"12","Bahamas","The Bahamas","Americas"
"13","Bangladesh","Bangladesh","Asia"
"14","Barbados","Barbados","Americas"
"15","Belgium","Belgium","Europe"
"16","Botswana","Botswana","Africa"
"17","Brazil","Brazil","Americas"
"18","British Columbia, Canada","Canada","Americas"
"19","British Columbia, United States","Canada","Americas"
"20","Brunei Darussalam","Brunei","Asia"
"21","Bulgaria","Bulgaria","Europe"
"22","California, United States","United States","Americas"
"23","Cambodia","Cambodia","Asia"
"24","Cameroon","Cameroon","Africa"
"25","Canada","Canada","Americas"
"26","Chile","Chile","Americas"
"27","China","China","Asia"
"28","Colombia","Colombia","Americas"
"29","Colorado, China","United States","Americas"
"30","Colorado, United States","United States","Americas"
"31","Connecticut, United States","United States","Americas"
"32","Costa Rica","Costa Rica","Americas"
"33","Cyprus","Costa Rica","Americas"
"34","Czech Republic","Czechia","Europe"
"35","Delaware, United States","United States","Americas"
"36","Denmark","Denmark","Europe"
"37","District of Columbia, United States","United States","Americas"
"38","Djibouti","Djibouti","Africa"
"39","Dominican Republic","Dominican Republic","Americas"
"40","Egypt","Egypt","Africa"
"41","Estonia","Estonia","Europe"
"42","Finland","Finland","Europe"
"43","Florida, United States","United States","Americas"
"44","France","France","Europe"
"45","Georgia","United States","Americas"
"46","Georgia, United States","United States","Americas"
"47","Germany","Germany","Europe"
"48","Ghana","Ghana","Africa"
"49","Gibraltar","Gibraltar","Europe"
"50","Greece","Greece","Europe"
"51","Guatemala","Guatemala","Americas"
"52","Haiti","Haiti","Americas"
"53","Hawaii, United States","United States","Americas"
"54","Hong Kong","Hong Kong","Asia"
"55","Hungary","Hungary","Europe"
"56","Iceland","Iceland","Europe"
"57","Idaho, United States","United States","Americas"
"58","Illinois, United States","United States","Americas"
"59","India","India","Asia"
"60","Indiana, United States","United States","Americas"
"61","Indonesia","Indonesia","Asia"
"62","Iowa, United States","United States","Americas"
"63","Iraq","Iraq","Asia"
"64","Ireland","Ireland","Europe"
"65","Israel","Israel","Asia"
"66","Italy","Italy","Europe"
"67","Jamaica","Jamaica","Americas"
"68","Japan","Japan","Asia"
"69","Jordan","United States","Americas"
"70","Kansas, United States","United States","Americas"
"71","Kazakhstan","Kazakhstan","Asia"
"72","Kentucky, United States","United States","Americas"
"73","Kenya","Kenya","Africa"
"74","Korea, Republic of","South Korea","Asia"
"75","Kuwait","Kuwait","Asia"
"76","Kyrgyzstan","Kyrgyzstan","Asia"
"77","Lebanon, Republic of","Lebanon","Asia"
"78","Louisiana, United States","United States","Americas"
"79","Luxembourg","Luxembourg","Europe"
"80","Macau","Macao","Asia"
"81","Maine, United States","United States","Americas"
"82","Malaysia","Malaysia","Asia"
"83","Mali","Mali","Africa"
"84","Malta","Malta","Europe"
"85","Manitoba, Canada","Canada","Americas"
"86","Maryland, United States","United States","Americas"
"87","Massachusetts, United States","United States","Americas"
"88","Mexico","Mexico","Americas"
"89","Michigan, United States","United States","Americas"
"90","Minnesota, United States","United States","Americas"
"91","Mississippi, United States","United States","Americas"
